hub_name,mean,lower,upper,rider_no
PHY - Tuy Hoa - SOU,348.1317829457365,312.07763562373697,384.1859302677359,6.222222222222222
PTH - Phu Tho - NOR,913.7864077669907,880.9711636373211,946.6016518966593,11.052631578947368
PTH - Tam Nong - NOR - SUB 2,288.25,261.9701684748797,314.5298315251203,5.8
PTH - Thanh Ba - NOR - SUB 2,429.5104166666668,412.6335698530849,446.3872634802482,6.65
PTH - Thanh Son - NOR - SUB 2,383.4134615384615,367.95309465516635,398.87382842175657,7.5
QNG - Binh Son - SOU - SUB 2,164.87951807228913,151.49639179253688,178.26264435204155,5.5
QNG - Quang Ngai - SOU,472.62711864406793,434.382113348797,510.8721239393389,11.823529411764707
QUA - Duy Xuyen - SOU - SUB 2,206.65454545454554,177.74771871158097,235.56137219750985,4.935483870967742
QUA - Hoi An - SOU,190.69411764705876,170.1177255408887,211.27050975322894,5.052631578947368
QUA - Que Son - SOU - SUB 2,163.95522388059706,145.36323399608196,182.54721376511222,4.225
QUA - Tam Ky - SOU,152.35849056603774,127.40858662738104,177.30839450469452,4.6875
QUB - Le Thuy - NOR - SUB 2,147.1578947368422,129.15523800477146,165.16055146891276,4.882352941176471
QUB - Quang Binh - NOR,192.3203125,176.47001034774942,208.17061465225046,4.038461538461538
QUN - Cam Pha - NOR,601.0833333333336,575.7027506195573,626.4639160471093,8.652173913043478
QUN - Dong Trieu - NOR - SUB 2,301.6067415730338,289.6843373209388,313.5291458251285,5.333333333333333
QUN - Ha Long - NOR,1178.3265306122448,1130.839250854065,1225.8138103704248,15.15
QUN - Hai Ha - NOR - SUB 2,203.3495145631068,195.1753568669728,211.52367225924084,3.0
QUN - Mong Cai - NOR,324.8641975308642,312.2992864535626,337.4291086081658,5.888888888888889
QUN - Tien Yen - NOR - SUB 2,148.70422535211267,138.77925565826038,158.62919504596496,3.5384615384615383
QUN - Uong Bi - NOR,538.9305555555555,509.15688216913713,568.7042289419741,7.7
QUT - Quang Tri - NOR,209.37096774193554,173.89687754300894,244.84505794086198,6.6
SOL - Moc Chau - NOR - SUB 2,189.23958333333337,182.9919803843741,195.4871862822925,6.823529411764706
SOL - Son La - NOR,292.77391304347833,280.7817172125965,304.76610887435993,7.142857142857143
SOT - Ke Sach - SOU - SUB 2,344.0789473684209,320.5804355685467,367.5774591682955,7.105263157894737
SOT - Soc Trang - SOU,455.21296296296293,436.8686156135482,473.55731031237764,8.26086956521739
SOT - Thanh Tri - SOU - SUB 2,271.78947368421063,251.07603733240197,292.50291003601893,6.615384615384615
SOT - Tran De - SOU - SUB 2,427.4765625,395.7660012262667,459.18712377373333,9.11111111111111
TAN - Ben Cau - SOU - SUB 2,180.7263157894737,172.53258426658084,188.9200473123665,3.5
TAN - Duong Minh Chau - SOU - SUB 2,218.7906976744186,205.06348301880186,232.5179123300353,7.0
TAN - Go Dau - SOU - SUB 2,390.08955223880605,341.5199668211118,438.65913765650015,5.538461538461538
TAN - Tan Bien - SOU - SUB 2,206.94117647058826,194.6360249475933,219.2463279935832,3.4375
TAN - Tan Chau - SOU - SUB 2,195.43103448275863,163.59196801890684,227.27010094661043,4.0
TAN - Tay Ninh - SOU,814.936507936508,767.0606041417559,862.81241173126,12.571428571428571
TG - Cai Be - SOU - SUB 2,294.43965517241384,268.67072084375064,320.2085895010769,8.0
TG - Cai Lay - SOU - SUB 2,313.46153846153845,294.99950976158567,331.9235671614912,6.866666666666666
TG - Cho Gao - SOU - SUB 2,259.8039215686275,248.09721158868032,271.5106315485746,6.45
TG - Go Cong - SOU - SUB 2,285.5537190082644,272.5131272828836,298.5943107336453,5.565217391304348
TG - Tan Phuoc - SOU - SUB 2,351.2043010752687,335.02055967377066,367.38804247676677,6.666666666666667
TG - Tien Giang - SOU,500.1171171171172,481.90088300755275,518.3333512266815,9.625
THB - Hung Ha - NOR - SUB 2,476.67164179104475,448.9461381066132,504.3971454754762,6.043478260869565
THB - Thai Binh - NOR,1280.2695652173913,1217.9299393364204,1342.6091910983616,16.384615384615383
THB - Tien Hai - NOR - SUB 2,521.4375,482.1677493864667,560.7072506135333,5.321428571428571
THH - Bim Son - NOR - SUB 2,391.90476190476187,366.19629562436364,417.61322818516027,5.538461538461538
THH - Hoang Hoa - NOR - SUB 2,803.9375,739.1541326234402,868.7208673765598,11.096774193548388
THH - Nhu Thanh - NOR - SUB 2,71.07142857142857,45.98027288401278,96.16258425884438,1.7142857142857142
THH - Thach Thanh - NOR - SUB 2,281.83823529411774,241.80448698128478,321.8719836069504,5.625
THH - Thanh Hoa - NOR,1989.9610389610389,1886.9479712775385,2092.9741066445395,21.57894736842105
THH - Tho Xuan - NOR - SUB 2,448.1071428571429,431.4491105449642,464.7651751693213,8.055555555555555
THH - Thuong Xuan - NOR - SUB 2,115.3333333333334,96.58496573416063,134.08170093250592,2.3142857142857145
THH - Tinh Gia - NOR - SUB 2,600.3222222222225,547.2168218969568,653.4276225474877,8.217391304347826
THN - Dai Tu - NOR - SUB 2,143.51456310679615,131.70837988819775,155.32074632539442,2.8181818181818183
THN - Dong Hy - NOR - SUB 2,87.0,32.86579964217131,141.1342003578287,3.111111111111111
THN - Pho Yen - NOR - SUB 2,566.5882352941178,527.9649693892873,605.211501198948,7.466666666666667
THN - Phu Luong - NOR - SUB 2,324.6206896551723,301.7442504839283,347.49712882641666,4.0
THN - Thai Nguyen - NOR,1353.2717391304348,1249.4454752812703,1457.098002979598,21.20689655172414
THN - Thai Nguyen 2 - NOR,266.29761904761904,205.32914810411506,327.26608999112295,6.0
TRV - Duyen Hai - SOU - SUB 2,311.59154929577466,290.4034232228388,332.77967536871046,7.555555555555555
TRV - Tieu Can - SOU - SUB 2,356.6271186440679,340.99148294551827,372.2627543426177,7.3478260869565215
TRV - Tra Vinh - SOU,636.8487394957986,612.7702593440292,660.9272196475674,10.1875
TTH - Phu Loc - NOR - SUB 2,154.8070175438597,130.90393514451395,178.71009994320545,5.041666666666667
TTH - Thua Thien Hue - NOR,529.4705882352939,473.5337874959131,585.4073889746754,9.833333333333334
TUQ - Chiem Hoa - NOR - SUB 2,147.74444444444447,137.71489977560663,157.77398911328234,3.75
TUQ - Ham Yen - NOR - SUB 2,140.82352941176475,127.61770258730749,154.02935623622207,3.6129032258064515
TUQ - Son Duong - NOR - SUB 2,209.5510204081633,193.61149725886295,225.49054355746367,5.05
TUQ - Tuyen Quang - NOR,393.48214285714295,363.4987922253324,423.46549348895314,5.666666666666667
TUQ - Yen Son - NOR - SUB 2,213.02000000000012,195.08622296453007,230.95377703546995,3.8846153846153846
VIL - Binh Minh - SOU - SUB 2,167.875,152.9930296454784,182.7569703545216,2.8
VIL - Tra On - SOU - SUB 2,232.92307692307693,221.52740390564708,244.31874994050685,6.375
VIL - Vinh Long - SOU,664.1717171717172,639.1034866477366,689.2399476956979,9.833333333333334
VIP - Lap Thach - NOR - SUB 2,413.24137931034437,337.11177768184655,489.3709809388427,7.923076923076923
VIP - Phuc Yen - NOR - SUB 2,314.32432432432427,300.34499883882387,328.3036498098246,4.2
VIP - Vinh Phuc - NOR,1680.49504950495,1622.0695102751245,1738.9205887347769,18.571428571428573
VT - Ba Ria - SOU - SUB 2,294.60909090909087,279.4978862016433,309.7202956165384,6.6923076923076925
