cal_date,hub_name,dest_hub_id,dest_hub_region,shipper_group,first_deli_ontime_rate,deli_succcess_ontime_day1_rate,deli_succcess_ontime_day2_rate,lm_orders
2021-08-14,HCM - Go Vap A - SOU - DP,130,HCM,Tiki,1.0,0.8333333333333334,0.8333333333333334,6
2021-08-14,HCM - Go Vap A - SOU - DP,130,HCM,Tiki Marketplace,1.0,0.9047619047619048,1.0,21
2021-08-14,HCM - Go Vap A - SOU - DP,130,HCM,XB,1.0,0.9512195121951219,1.0,41
2021-08-14,HCM - Go Vap B - SOU - DP,1233,HCM,DS,1.0,1.0,1.0,10
2021-08-14,HCM - Go Vap B - SOU - DP,1233,HCM,ES,1.0,0.75,0.75,4
2021-08-14,HCM - Go Vap B - SOU - DP,1233,HCM,Lazada Master Account (ASC),0.9795918367346939,0.8571428571428571,0.875,49
2021-08-14,HCM - Go Vap B - SOU - DP,1233,HCM,Others,1.0,1.0,1.0,2
2021-08-14,HCM - Go Vap B - SOU - DP,1233,HCM,Shopee Vietnam,0.9885057471264368,0.9454022988505747,0.9796511627906976,348
2021-08-14,HCM - Go Vap B - SOU - DP,1233,HCM,Tiki Marketplace,1.0,1.0,1.0,3
2021-08-14,HCM - Go Vap B - SOU - DP,1233,HCM,XB,1.0,1.0,1.0,9
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,DS,0.88,0.76,0.9361702127659575,50
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,EN,1.0,1.0,1.0,5
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,ES,0.5,0.2,0.5,10
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,Lazada Master Account (ASC),0.7926829268292683,0.7073170731707317,0.9319727891156463,164
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,Others,0.4444444444444444,0.4444444444444444,0.625,9
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,Partnerships,1.0,1.0,1.0,1
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,Shopee Vietnam,0.7274063188831741,0.6554004408523145,0.92616899097621,1361
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,Tiki,0.9655172413793104,0.9655172413793104,0.9827586206896551,58
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,Tiki Marketplace,1.0,1.0,1.0,25
2021-08-14,HCM - Phu Nhuan - SOU - DP,236,HCM,XB,0.8301886792452831,0.660377358490566,0.975609756097561,53
2021-08-14,HN - Ba Dinh - NOR - DP,847,HN,DS,1.0,0.8333333333333334,0.9166666666666666,36
2021-08-14,HN - Ba Dinh - NOR - DP,847,HN,EN,1.0,0.8333333333333334,1.0,18
2021-08-14,HN - Ba Dinh - NOR - DP,847,HN,ES,1.0,1.0,1.0,1
2021-08-14,HN - Ba Dinh - NOR - DP,847,HN,Lazada Master Account (ASC),1.0,0.7927927927927928,0.8828828828828829,111
2021-08-14,HN - Ba Dinh - NOR - DP,847,HN,Others,1.0,0.7142857142857143,0.8571428571428571,7
2021-08-14,HN - Ba Dinh - NOR - DP,847,HN,Shopee Vietnam,0.9420103092783505,0.8350515463917526,0.9754838709677419,776
2021-08-14,HN - Ba Dinh - NOR - DP,847,HN,Tiki,1.0,0.6666666666666666,1.0,3
2021-08-14,HN - Ba Dinh - NOR - DP,847,HN,Tiki Marketplace,1.0,0.9375,0.9375,16
2021-08-14,HN - Bac Tu Liem - NOR - DP,259,HN,DS,1.0,0.5757575757575758,0.8787878787878788,33
2021-08-14,HN - Bac Tu Liem - NOR - DP,259,HN,EN,1.0,0.5,0.875,8
2021-08-14,HN - Bac Tu Liem - NOR - DP,259,HN,ES,1.0,1.0,1.0,1
2021-08-14,HN - Bac Tu Liem - NOR - DP,259,HN,Lazada Master Account (ASC),1.0,0.6774193548387096,0.8817204301075269,93
2021-08-14,HN - Bac Tu Liem - NOR - DP,259,HN,Others,1.0,0.375,0.75,8
2021-08-14,HN - Bac Tu Liem - NOR - DP,259,HN,Shopee Vietnam,0.9957567185289957,0.7482319660537482,0.9150141643059491,707
2021-08-14,HN - Bac Tu Liem - NOR - DP,259,HN,Tiki,1.0,1.0,1.0,1
2021-08-14,HN - Bac Tu Liem - NOR - DP,259,HN,Tiki Marketplace,1.0,1.0,1.0,4
2021-08-14,HN - Bac Tu Liem - NOR - DP,259,HN,XB,1.0,1.0,1.0,1
2021-08-14,HN - Hai Ba Trung 1 - NOR - DP,851,HN,DS,1.0,0.8518518518518519,0.8888888888888888,27
2021-08-14,HN - Hai Ba Trung 1 - NOR - DP,851,HN,EN,1.0,1.0,1.0,7
2021-08-14,HN - Hai Ba Trung 1 - NOR - DP,851,HN,ES,1.0,1.0,1.0,3
2021-08-14,HN - Hai Ba Trung 1 - NOR - DP,851,HN,Lazada Master Account (ASC),1.0,0.859375,0.9375,64
2021-08-14,HN - Hai Ba Trung 1 - NOR - DP,851,HN,Others,1.0,0.6,0.8,5
2021-08-14,HN - Hai Ba Trung 1 - NOR - DP,851,HN,Shopee Vietnam,0.9830917874396136,0.8647342995169082,0.9515738498789347,414
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,855,HN,DS,1.0,0.5,0.8571428571428571,8
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,855,HN,EN,1.0,1.0,1.0,3
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,855,HN,Lazada Master Account (ASC),1.0,0.8181818181818182,0.9090909090909091,22
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,855,HN,Others,1.0,1.0,1.0,1
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,855,HN,Partnerships,1.0,1.0,1.0,1
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,855,HN,Shopee Vietnam,0.983957219251337,0.820855614973262,0.9594594594594594,374
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,855,HN,Tiki Marketplace,1.0,0.6666666666666666,1.0,3
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,855,HN,XB,1.0,0.75,1.0,4
2021-08-14,HN - Thanh Xuan 2 - NOR - DP,1231,HN,DS,0.9473684210526315,0.8421052631578947,0.8421052631578947,19
2021-08-14,HN - Thanh Xuan 2 - NOR - DP,1231,HN,EN,1.0,0.5,1.0,2
2021-08-14,HN - Thanh Xuan 2 - NOR - DP,1231,HN,ES,1.0,0.0,0.0,1
2021-08-14,HN - Thanh Xuan 2 - NOR - DP,1231,HN,Lazada Master Account (ASC),1.0,0.8717948717948718,0.9743589743589743,39
2021-08-14,HN - Thanh Xuan 2 - NOR - DP,1231,HN,Shopee Vietnam,1.0,0.8997955010224948,0.9774127310061602,489
2021-08-14,HN - Thanh Xuan 2 - NOR - DP,1231,HN,Tiki Marketplace,1.0,0.0,0.0,1
2021-08-14,LA - Long An - SOU,48,South,DS,1.0,0.6666666666666666,1.0,3
2021-08-14,LA - Long An - SOU,48,South,Lazada Master Account (ASC),0.825925925925926,0.6222222222222222,0.6703703703703704,270
2021-08-14,LA - Long An - SOU,48,South,Others,1.0,1.0,1.0,2
2021-08-14,LA - Long An - SOU,48,South,Shopee Vietnam,0.8780487804878049,0.8373983739837398,0.8524590163934426,123
2021-08-14,LA - Long An - SOU,48,South,Tiki Marketplace,0.8571428571428571,0.7142857142857143,0.7142857142857143,7
2021-08-14,LA - Long An - SOU,48,South,XB,1.0,1.0,1.0,1
2021-08-14,LAD - Bao Loc - SOU - SUB 2,385,South,DS,1.0,0.7272727272727273,0.9090909090909091,11
2021-08-14,LAD - Bao Loc - SOU - SUB 2,385,South,EN,1.0,0.5,0.8,10
2021-08-14,LAD - Bao Loc - SOU - SUB 2,385,South,Lazada Master Account (ASC),1.0,0.6190476190476191,0.9047619047619048,21
2021-08-14,LAD - Bao Loc - SOU - SUB 2,385,South,Others,1.0,1.0,1.0,1
2021-08-14,LAD - Bao Loc - SOU - SUB 2,385,South,Shopee Vietnam,0.9651162790697675,0.8372093023255814,0.9285714285714286,86
2021-08-14,LAD - Bao Loc - SOU - SUB 2,385,South,Tiki Marketplace,1.0,1.0,1.0,1
2021-08-14,NAD - Nam Dinh - NOR,100,North,DS,1.0,0.9615384615384616,1.0,26
2021-08-14,NAD - Nam Dinh - NOR,100,North,EN,1.0,0.9166666666666666,1.0,24
2021-08-14,NAD - Nam Dinh - NOR,100,North,ES,1.0,1.0,1.0,1
2021-08-14,NAD - Nam Dinh - NOR,100,North,Lazada Master Account (ASC),1.0,0.967391304347826,1.0,92
2021-08-14,NAD - Nam Dinh - NOR,100,North,Others,1.0,1.0,1.0,1
2021-08-14,NAD - Nam Dinh - NOR,100,North,Shopee Vietnam,1.0,0.9717223650385605,1.0,389
2021-08-14,NAD - Nam Dinh - NOR,100,North,Tiki,1.0,1.0,1.0,35
2021-08-14,NAD - Nam Dinh - NOR,100,North,Tiki Marketplace,1.0,0.9714285714285714,1.0,35
2021-08-14,NGA - Cua Lo - NOR - SUB 2,1187,North,EN,1.0,1.0,1.0,3
2021-08-14,NGA - Cua Lo - NOR - SUB 2,1187,North,Lazada Master Account (ASC),1.0,0.9,0.9,20
2021-08-14,NGA - Cua Lo - NOR - SUB 2,1187,North,Others,1.0,1.0,1.0,1
2021-08-14,NGA - Cua Lo - NOR - SUB 2,1187,North,Shopee Vietnam,1.0,0.8064516129032258,0.9032258064516129,31
