cal_date,shipper_group,hub_name,avg_pending_time_dest_hub,avg_delivery_attempts,total_orders,rts_orders,rts_rate
6/8/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,68.6440678,1.260567823,3170,59,0.018611987
1/18/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,48.7,1.221202532,3160,90,0.028481013
4/8/2021,Shopee,HCM - District 7 - SOU - DP,55.66666667,1.355175689,3159,93,0.029439696
4/7/2021,Shopee,HCM - District 10 - SOU - DP,51.26315789,1.149239544,3156,57,0.018060837
4/7/2021,Shopee,HCM - Phu Nhuan - SOU - DP,42,1.146704689,3156,44,0.013941698
5/8/2021,Shopee,HCM - Phu Nhuan - SOU - DP,62.12962963,1.408787011,3141,54,0.017191977
4/6/2021,Shopee,HCM - Go Vap A - SOU - DP,55.05555556,1.118811881,3131,36,0.011497924
6/16/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,77.96721311,1.1315621,3124,61,0.019526248
6/11/2021,Shopee,HCM - District 10 - SOU - DP,60.59722222,1.211791093,3121,72,0.023069529
1/29/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,67.78947368,1.107899807,3114,57,0.018304432
1/28/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,48.52459016,1.107292001,3113,61,0.019595246
1/28/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,63.66363636,1.431788932,3108,110,0.035392535
6/8/2021,Shopee,HCM - Go Vap A - SOU - DP,46.09259259,1.11379755,3102,54,0.017408124
5/6/2021,Shopee,HCM - Go Vap A - SOU - DP,47.36363636,1.117609047,3095,55,0.017770598
6/17/2021,Shopee,HCM - Go Vap A - SOU - DP,46.29787234,1.061284047,3084,47,0.015239948
1/29/2021,Shopee,HCM - Phu Nhuan - SOU - DP,58.32,1.130110318,3082,50,0.016223232
6/19/2021,Shopee,HCM - Phu Nhuan - SOU - DP,54.57777778,1.1908646,3065,45,0.014681892
2/1/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,55.52941176,1.301701571,3056,85,0.027814136
6/21/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,71.56944444,1.104796321,3044,72,0.023653088
5/10/2021,Shopee,HCM - Phu Nhuan - SOU - DP,42.95714286,1.221856485,3038,70,0.023041475
7/9/2021,Shopee,HCM - Phu Nhuan - SOU - DP,64.45454545,1.098252555,3033,66,0.021760633
1/30/2021,Shopee,HCM - Go Vap A - SOU - DP,78.50485437,1.237873754,3010,103,0.034219269
6/18/2021,Shopee,HCM - District 7 - SOU - DP,83.16806723,1.11240439,3007,119,0.039574327
4/22/2021,Shopee,HCM - Phu Nhuan - SOU - DP,47.23684211,1.145284905,3001,38,0.012662446
7/8/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,73.92307692,1.061394728,2997,39,0.013013013
5/10/2021,Shopee,HCM - District 7 - SOU - DP,49.06722689,1.329101236,2993,119,0.039759439
6/19/2021,Shopee,HCM - District 7 - SOU - DP,90.73275862,1.152740642,2992,116,0.038770053
1/28/2021,Shopee,HCM - District 10 - SOU - DP,47.94444444,1.131860776,2988,54,0.018072289
4/6/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,55.375,1.137688442,2985,48,0.016080402
4/6/2021,Shopee,HCM - Phu Nhuan - SOU - DP,54.02439024,1.129162462,2973,41,0.013790784
1/30/2021,Shopee,HCM - Phu Nhuan - SOU - DP,58.84210526,1.337710438,2970,38,0.012794613
