,hub_region,hub_sector,hub_id,hub_name,sl_rate,observation_num,mean,lower,upper,range,rider_no
180,North,NMM,526,BAG - Luc Nam - NOR - SUB 2,0.93,57,400.0,300.0,400.0,99.6520529758345,10.0
181,North,NMM,570,SOL - Song Ma - NOR - SUB 2,0.93,22,100.0,100.0,100.0,44.31727090904221,2.0
182,North,NMM,574,SOL - Mai Son - NOR - SUB 2,0.93,32,100.0,0.0,100.0,40.2489152308267,5.0
183,North,NMM,578,SOL - Bac Yen - NOR - SUB 2,0.93,5,0.0,0.0,0.0,16.324991693561966,1.0
184,North,NMM,582,SOL - Muong La - NOR - SUB 2,0.93,20,0.0,0.0,100.0,15.278704945092837,2.0
185,North,NMM,586,DIB - Tua Chua - NOR - SUB 2,0.93,40,0.0,0.0,0.0,4.327156012912847,1.0
186,North,NMM,590,DIB - Dien Bien Dong - NOR - SUB 2,0.93,31,0.0,0.0,0.0,5.286589905976422,1.0
187,North,NMM,594,TUQ - Son Duong - NOR - SUB 2,0.93,87,200.0,200.0,200.0,35.162528828022,5.0
188,North,NMM,598,TUQ - Chiem Hoa - NOR - SUB 2,0.93,80,100.0,100.0,200.0,21.449901351473386,4.0
189,North,NMM,602,TUQ - Yen Son - NOR - SUB 2,0.93,90,200.0,200.0,200.0,38.642930239498234,4.0
190,North,NMM,622,LCA - Sapa - NOR - SUB 2,0.93,102,100.0,100.0,100.0,9.156844438275442,4.0
191,North,NMM,626,LCA - Bao Yen - NOR - SUB 2,0.93,54,100.0,100.0,100.0,17.63265638322579,2.0
192,North,NMM,630,LCA - Van Ban - NOR - SUB 2,0.93,51,100.0,0.0,100.0,22.584110250304768,5.0
193,North,NMM,634,LCA - Bac Ha - NOR - SUB 2,0.93,94,100.0,100.0,100.0,6.732326720365668,4.0
194,North,NMM,642,LCA - Bat Xat - NOR - SUB 2,0.93,75,100.0,100.0,100.0,8.965366157218542,2.0
195,North,NMM,646,LCA - Muong Khuong - NOR - SUB 2,0.93,46,0.0,0.0,0.0,5.726579264892908,2.0
196,North,NMM,654,YEB - Van Yen - NOR - SUB 2,0.93,68,100.0,100.0,100.0,22.13792063900181,4.0
197,North,NMM,658,YEB - Van Chan - NOR - SUB 2,0.93,110,200.0,200.0,200.0,16.314440212583406,3.0
198,North,NMM,711,HAG - Vi Xuyen - NOR - SUB 2,0.93,77,100.0,100.0,100.0,10.257327794540657,3.0
199,North,NMM,867,LAS - Cao Loc - NOR - SUB 2,0.93,96,300.0,200.0,300.0,68.61839694925965,6.0
200,North,NMM,871,LAS - Loc Binh - NOR - SUB 2,0.93,94,100.0,100.0,100.0,7.892624816707041,3.0
201,North,NMM,1016,YEB - Mu Cang Chai - NOR - SUB 2,0.93,38,0.0,0.0,0.0,6.880911884769453,2.0
202,North,NMM,1017,YEB - Luc Yen - NOR - SUB 2,0.93,25,100.0,100.0,100.0,13.771088141268484,5.0
203,North,NMM,1018,YEB - Yen Binh - NOR - SUB 2,0.93,60,100.0,100.0,100.0,21.18242294190466,5.0
204,North,NMM,1019,TUQ - Na Hang - NOR - SUB 2,0.93,48,0.0,0.0,0.0,8.812160639513081,2.0
205,North,NMM,1020,TUQ - Ham Yen - NOR - SUB 2,0.93,42,100.0,100.0,200.0,30.353431539075725,4.0
206,North,NMM,1021,TUQ - Lam Binh - NOR - SUB 2,0.93,80,0.0,0.0,0.0,4.37110380225782,1.0
207,North,NMM,1026,BAK - Ngan Son - NOR - SUB 2,0.93,55,0.0,0.0,0.0,10.303738247711347,1.0
208,North,NMM,1027,BAK - Na Ri - NOR - SUB 2,0.93,107,0.0,0.0,0.0,4.196586488712811,1.0
209,North,NMM,1029,BAK - Cho Moi - NOR - SUB 2,0.93,61,100.0,0.0,100.0,10.26446248383325,1.0
210,North,NMM,1031,BAK - Cho Don - NOR - SUB 2,0.93,105,100.0,100.0,100.0,7.695989706692075,2.0
211,North,NMM,1032,SOL - Quynh Nhai - NOR - SUB 2,0.93,88,0.0,0.0,0.0,6.83503753576665,1.0
212,North,NMM,1033,BAK - Ba Be - NOR - SUB 2,0.93,77,0.0,0.0,100.0,6.8209612552619205,2.0
