Address City,Address Country,Area,Consol Hub,Country,Creation Datetime,Facility Type,Hub Sector,ID,Is Deleted,Is Delivery Hub,Last Mile Cutoff,Latitude,Longitude,Name,Parent Hub ID,Province Code,Region,Short Name,System ID,Sort Hub Flag,Virtual Hub Flag,Parent Hub Name,Sla Region,Created Month
Ha Noi,VN,metro,,vn,2020-11-03T13:56:25Z,STATION,HN,1230,0,,12:00,21.0255467,105.8353575,HN - Dong Da 2 - NOR - DP,,HN,HN,Hà Nội,vn,0,0,,HN,2020-11
Ha Noi,VN,metro,,vn,2020-11-03T14:09:33Z,STATION,HN,1231,0,,12:00,20.994116,105.82519,HN - Thanh Xuan 2 - NOR - DP,,HN,HN,Hà Nội,vn,0,0,,HN,2020-11
Dong Thap,VN,sub2,,vn,2021-06-13T14:26:45Z,STATION,MT,103266,0,,12:00,10.520673,105.843925,DOT - Thap Muoi - SOU - SUB 2,,DOT,South,Đồng Tháp,vn,0,0,,South,2021-06
Hau Giang,VN,sub2,,vn,2021-06-13T14:27:45Z,STATION,MT,103267,0,,12:00,9.782135,105.740361,HGI - Cay Duong - SOU - SUB 2,,HGI,South,Hậu Giang,vn,0,0,,South,2021-06
Binh Duong,VN,sub2,,vn,2021-06-02T11:53:50Z,OTHERS,DNB,103231,1,,12:00,11.256709,106.637465,BD - Disable 2,,BD,South,Bình Dương,vn,0,0,,South,2021-06
Binh Duong,VN,sub2,,vn,2021-06-02T11:35:30Z,OTHERS,DNB,103230,1,,12:00,11.256709,106.637465,BD - Disable,,BD,South,Binh Duong,vn,0,0,,South,2021-06
Bà Rịa - Vũng Tàu,VN,sub1,,vn,2020-03-25T18:21:31Z,STATION,DNB,1156,0,,12:00,10.650781,107.2430951,VT - Chau Duc - SOU - SUB 2,,VT,South,Bà Rịa - Vũng Tàu,vn,0,0,,South,2020-03
Nghe An,VN,metro,,vn,2020-03-09T15:31:15Z,CROSSDOCK,BTB,1153,0,,12:00,18.644687,105.675395,NGA - Nghe An - NOR - WH,,NGA,North,Nghệ An,vn,1,0,,North,2020-03
Ho Chi Minh,VN,,,vn,2020-03-04T17:32:19Z,OTHERS,Others,1145,0,,12:00,1.0,1.0,Retail test hub API 2,,Ret,HCM,Retail test hub API 2,vn,0,0,,HCM,2020-03
Thai Binh,VN,sub2,,vn,2020-03-27T11:45:33Z,STATION,DBSH,1158,0,,12:00,20.404447,106.506876,THB - Tien Hai - NOR - SUB 2,,THB,North,Thái Bình,vn,0,0,,North,2020-03
Ha Noi,VN,,,vn,2020-03-06T12:17:14Z,OTHERS,HN,1150,0,,12:00,20.980543,105.9733699999,HN - Tiki HY - Pickup - NOR,,HN,HN,Hà Nội,vn,0,0,,HN,2020-03
Ha Noi,VN,,,vn,2020-03-06T17:28:26Z,OTHERS,HN,1151,0,,12:00,21.030651,105.907686,HN - SENDO SC - GHN - NOR,,HN,HN,Hà Nội,vn,0,0,,HN,2020-03
Ha Noi,VN,metro,,vn,2020-03-26T09:42:38Z,CROSSDOCK,HN,1157,0,,12:00,21.031802,105.906846,HN - Fulfillment - NOR,15,HN,HN,Hà Nội,vn,1,1,HN - Long Bien - NOR,HN,2020-03
Phu Yen,VN,sub2,,vn,2020-03-18T11:09:07Z,STATION,MTTN,1155,0,,12:00,13.579334,109.199785,PHY - Song Cau - SOU - SUB 2,,PHY,South,Phú Yên,vn,0,0,,South,2020-03
Nghe An,VN,sub2,,vn,2020-02-10T09:30:47Z,STATION,BTB,1132,0,,12:00,19.25881,104.48726,NGA - Tuong Duong - NOR - SUB 2,,NGA,North,Nghệ An,vn,0,0,,North,2020-02
Kon Tum,VN,sub3,,vn,2020-02-29T18:07:35Z,STATION,MTTN,1144,0,,12:00,14.651255,107.843727,KOT - Dak To - SOU - SUB 2,,KOT,South,Kon Tum,vn,0,0,,South,2020-02
Ho Chi Minh,VN,,,vn,2020-02-24T12:27:06Z,OTHERS,Others,1134,1,,12:00,3.0,3.0,PUDO TEST 2,,PUD,HCM,test test,vn,0,0,,HCM,2020-02
Ha Nam,VN,sub2,,vn,2020-02-27T14:11:49Z,STATION,DBSH,1138,0,,12:00,20.540608,106.064167,HAN - Ly Nhan - NOR - SUB 2,,HAN,North,Hà Nam,vn,0,0,,North,2020-02
