hub_id,hub_name,hub_region,province_code,hub_sector,area,created_month
1175,TG - Cai Be - SOU - SUB 2,South,TG,MT,Non-Metro,2020-05
1176,THB - Thai Thuy - NOR - SUB 2,North,THB,DBSH,Non-Metro,2020-05
1185,QUA - Duy Xuyen - SOU - SUB 2,South,QUA,MTTN,Non-Metro,2020-05
1209,HN - Cau Giay 2 - NOR - DP,HN,HN,HN,Metro,2020-08
1210,HCM - Nha Be - SOU - DP,HCM,HCM,HCM,Metro,2020-08
1204,HN - Hoan Kiem - NOR - DP,HN,HN,HN,Metro,2020-08
1213,VT - Ba Ria - SOU - SUB 2,South,VT,DNB,Non-Metro,2020-08
1211,HN - Hoang Mai 2 - NOR - DP,HN,HN,HN,Metro,2020-08
1208,NGA - Nghi Loc - NOR - SUB 2,North,NGA,BTB,Non-Metro,2020-08
1212,BIT - Da Mi - SOU - SUB 2,South,BIT,DNB,Non-Metro,2020-08
1214,HN - Me Linh - NOR - SUB 2 - DP,HN,HN,HN,Metro,2020-08
479,HAG - Bac Me - NOR - SUB 2,North,HAG,NMM,Non-Metro,2018-05
463,LA - Can Giuoc - SOU - SUB 2,South,LA,DNB,Non-Metro,2018-05
473,LAC - Than Uyen - NOR - SUB 2,North,LAC,NMM,Non-Metro,2018-05
488,DIB - Muong Nhe - NOR - SUB 2,North,DIB,NMM,Non-Metro,2018-05
470,LAS - Van Lang - NOR - SUB 2,North,LAS,NMM,Non-Metro,2018-05
482,HAG - Bac Quang - NOR - SUB 2,North,HAG,NMM,Non-Metro,2018-05
466,HN - Dong Da 1 - NOR - DP,HN,HN,HN,Metro,2018-05
485,HAG - Quan Ba - NOR - SUB 2,North,HAG,NMM,Non-Metro,2018-05
461,BD - Di An - SOU - SUB 2,South,BD,DNB,Non-Metro,2018-05
495,THN - Dong Hy - NOR - SUB 2,North,THN,NMM,Non-Metro,2018-05
467,LAS - Binh Gia - NOR - SUB 2,North,LAS,NMM,Non-Metro,2018-05
476,LAC - Tan Uyen - NOR - SUB 2,North,LAC,NMM,Non-Metro,2018-05
32,DNG - DAD - SOU - DP,South,DNG,MTTN,Non-Metro,2016-11
42,BN - Bac Ninh - NOR,North,BN,DBSH,Non-Metro,2016-11
45,HY - Hung Yen - NOR,North,HY,DBSH,Non-Metro,2016-11
39,CT - CTH - SOU - DP,South,CT,MT,Non-Metro,2016-11
277,BD - Ben Cat - SOU - SUB 2,South,BD,DNB,Non-Metro,2018-01
279,HAT - Ha Tinh - NOR,North,HAT,BTB,Non-Metro,2018-01
297,QUT - Quang Tri - NOR,North,QUT,BTB,Non-Metro,2018-01
305,CAM - Ca Mau - SOU,South,CAM,MT,Non-Metro,2018-01
275,DN - Long Thanh - SOU - SUB 2,South,DN,DNB,Non-Metro,2018-01
281,NGA - Nghe An - NOR,North,NGA,BTB,Non-Metro,2018-01
289,CT - O Mon - SOU - SUB 2,South,CT,MT,Non-Metro,2018-01
283,QUN - Cam Pha - NOR,North,QUN,DBSH,Non-Metro,2018-01
285,QUN - Uong Bi - NOR,North,QUN,DBSH,Non-Metro,2018-01
291,HGI - Hau Giang - SOU,South,HGI,MT,Non-Metro,2018-01
287,DN - Long Khanh - SOU - SUB 2,South,DN,DNB,Non-Metro,2018-01
301,TTH - Thua Thien Hue - NOR,North,TTH,BTB,Non-Metro,2018-01
303,BAL - Bac Lieu - SOU,South,BAL,MT,Non-Metro,2018-01
295,HN - Nam Tu Liem - NOR - DP,HN,HN,HN,Metro,2018-01
